Edge TPU Compiler version 16.0.384591198
Input: weights/yolov5s-int8.tflite
Output: weights/yolov5s-int8_edgetpu.tflite

Operator                       Count      Status

QUANTIZE                       17         Mapped to Edge TPU
CONV_2D                        62         Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        2          Mapped to Edge TPU
CONCATENATION                  14         Mapped to Edge TPU
RESHAPE                        3          Mapped to Edge TPU
TRANSPOSE                      3          Mapped to Edge TPU
MUL                            59         Mapped to Edge TPU
STRIDED_SLICE                  4          Mapped to Edge TPU
LOGISTIC                       59         Mapped to Edge TPU
PAD                            6          Mapped to Edge TPU
ADD                            7          Mapped to Edge TPU
MAX_POOL_2D                    3          Mapped to Edge TPU
